date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:04	53412/53412	---M--	200	added ('OK')	image/jpeg	etag:%22v15c%22	https://3.bp.blogspot.com/-9jMTB9fFCUA/WLadFSAMTUI/AAAAAAAAAVk/rhFUFD8fwnUEn266Vhjhb6UfSbGvuPjDgCLcB/s1600/pexels-photo-247199.jpeg	C:/My%20Web%20Sites/fuckier/3.bp.blogspot.com/-9jMTB9fFCUA/WLadFSAMTUI/AAAAAAAAAVk/rhFUFD8fwnUEn266Vhjhb6UfSbGvuPjDgCLcB/s1600/pexels-photo-247199.jpeg	(from http://brakt-demo3.blogspot.com/)
23:06:04	73217/73217	---M--	200	added ('OK')	image/jpeg	etag:%22v15e%22	https://4.bp.blogspot.com/-9TMg2rYcKw4/WLaeBQ4lluI/AAAAAAAAAVs/m2zJeMCe6kwdHIPlnL52L1wvAw0RWl5eQCLcB/s1600/pexels-photo.jpeg	C:/My%20Web%20Sites/fuckier/4.bp.blogspot.com/-9TMg2rYcKw4/WLaeBQ4lluI/AAAAAAAAAVs/m2zJeMCe6kwdHIPlnL52L1wvAw0RWl5eQCLcB/s1600/pexels-photo.jpeg	(from http://brakt-demo3.blogspot.com/)
23:06:07	21363/21363	---M--	200	added ('OK')	image/jpeg	etag:%22v167%22	https://4.bp.blogspot.com/-sSzS5V_dj6M/WLakvA-XOBI/AAAAAAAAAWY/N_HcwtUiwG8BdkBASsuBEMzPioV4In2jgCK4B/s1600/pexels-photo-25090.jpg	C:/My%20Web%20Sites/fuckier/4.bp.blogspot.com/-sSzS5V_dj6M/WLakvA-XOBI/AAAAAAAAAWY/N_HcwtUiwG8BdkBASsuBEMzPioV4In2jgCK4B/s1600/pexels-photo-25090.jpg	(from http://brakt-demo3.blogspot.com/)
23:06:07	32766/32766	---M--	200	added ('OK')	image/jpeg	etag:%22v167%22	http://4.bp.blogspot.com/-QuF9A7mCbEA/WLakoqqxFSI/AAAAAAAAAWQ/AQDCM_5mx44cqNRePP0kSs3E45wJQtdsgCK4B/s1600/person.jpg	C:/My%20Web%20Sites/fuckier/4.bp.blogspot.com/-QuF9A7mCbEA/WLakoqqxFSI/AAAAAAAAAWQ/AQDCM_5mx44cqNRePP0kSs3E45wJQtdsgCK4B/s1600/person.jpg	(from http://brakt-demo3.blogspot.com/)
23:06:07	475/475	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Feb%202021%2009:05:56%20GMT	https://resources.blogblog.com/img/icon18_wrench_allbkg.png	C:/My%20Web%20Sites/fuckier/resources.blogblog.com/img/icon18_wrench_allbkg.png	(from http://brakt-demo3.blogspot.com/)
23:06:08	6552/6552	---M--	200	added ('OK')	image/jpeg	etag:%22v5db%22	https://1.bp.blogspot.com/-VolWPtBbzyI/XYvFWsIq-LI/AAAAAAAABdo/WWF9n2FHWZctHjT5Mp_MbxNXjwKZCDMZwCLcBGAsYHQ/w72-h72-p-k-no-nu/elizeu-dias-eHSQQOe_tYM-unsplash.jpg	C:/My%20Web%20Sites/fuckier/1.bp.blogspot.com/-VolWPtBbzyI/XYvFWsIq-LI/AAAAAAAABdo/WWF9n2FHWZctHjT5Mp_MbxNXjwKZCDMZwCLcBGAsYHQ/w72-h72-p-k-no-nu/elizeu-dias-eHSQQOe_tYM-unsplash.jpg	(from http://brakt-demo3.blogspot.com/)
23:06:08	2560/2560	---M--	200	added ('OK')	image/jpeg	etag:%22v14d%22	https://1.bp.blogspot.com/-MEFfynbiKcE/WLaYbBhFAHI/AAAAAAAAAUs/NWSTuxc0rxUxGQqp4-JCbVesFGT0Qv7FACLcB/w72-h72-p-k-no-nu/pexels-photo-87293.jpeg	C:/My%20Web%20Sites/fuckier/1.bp.blogspot.com/-MEFfynbiKcE/WLaYbBhFAHI/AAAAAAAAAUs/NWSTuxc0rxUxGQqp4-JCbVesFGT0Qv7FACLcB/w72-h72-p-k-no-nu/pexels-photo-87293.jpeg	(from http://brakt-demo3.blogspot.com/)
23:06:09	4208/4208	---M--	200	added ('OK')	image/jpeg	etag:%22v150%22	https://2.bp.blogspot.com/-IGWs-p9SO4U/WLaY86WfnvI/AAAAAAAAAUw/ik99BFLZFM8SZptsQ_RKEq2kkZqWJ3VrACLcB/w72-h72-p-k-no-nu/pexels-photo-129743.jpeg	C:/My%20Web%20Sites/fuckier/2.bp.blogspot.com/-IGWs-p9SO4U/WLaY86WfnvI/AAAAAAAAAUw/ik99BFLZFM8SZptsQ_RKEq2kkZqWJ3VrACLcB/w72-h72-p-k-no-nu/pexels-photo-129743.jpeg	(from http://brakt-demo3.blogspot.com/)
23:06:12	396195/396195	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/p/shortcodes_1.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/p/shortcodes_1.html	(from http://brakt-demo3.blogspot.com/)
23:06:15	399298/399298	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/p/typography_1.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/p/typography_1.html	(from http://brakt-demo3.blogspot.com/)
